row_index,date,close,future_return,actual_direction,prob_majority_baseline,prob_logistic_regression,prob_random_forest,prob_xgboost,prob_mlp,prob_lstm,signal,strategy_return,buy_hold_return,strategy_equity,buy_hold_equity
1439,2022-06-27,20742.56,-0.07182093242107046,0,0.5204610951008646,0.5501471291739833,0.5084141629587059,0.57211214,0.508879,0.45580155,1,-0.07382093242107046,-0.07182093242107046,0.9075614283539091,1.0067856743825392
1444,2022-07-02,19252.81,0.12321162469270708,1,0.5204610951008646,0.682407954150106,0.6030530960461186,0.53354824,0.51528275,0.57522833,1,0.12121162469270708,0.12321162469270708,1.0175684235931202,1.1308333730405546
1460,2022-07-18,22432.58,0.0008242475898891932,1,0.5204610951008646,0.6058316300874125,0.498781314837733,0.53145456,0.47119492,0.5468293,0,0.0,0.0008242475898891932,1.0175684235931202,1.1317654597228497
1465,2022-07-23,22451.07,0.061995263477420126,1,0.5204610951008646,0.6893289520949883,0.5360772904061446,0.60715157,0.49684924,0.53539413,1,0.059995263477420124,0.061995263477420126,1.0786177092728924,1.2019295575930113
1509,2022-09-05,19796.84,0.09352502722656753,1,0.5204610951008646,0.5423636588924455,0.5298941330206004,0.5857579,0.49471605,0.5582473,1,0.09152502722656752,0.09352502722656753,1.1773382244811517,1.314340052191314
1514,2022-09-10,21648.34,-0.08991266766874495,0,0.5204610951008646,0.5266251826306523,0.4260664469678745,0.47553778,0.48950556,0.47386038,0,-0.0,-0.08991266766874495,1.1773382244811517,1.1961642318749155
1530,2022-09-26,19227.82,0.004323423040157426,1,0.5204610951008646,0.3855586359297574,0.4141626822971085,0.42270255,0.48578852,0.48618078,0,0.0,0.004323423040157426,1.1773382244811517,1.2013357558748157
1535,2022-10-01,19310.95,0.03364515987043615,1,0.5204610951008646,0.5310098906531058,0.5066730588874064,0.5672026,0.47374213,0.47533104,0,0.0,0.03364515987043615,1.1773382244811517,1.2417548894392951
1579,2022-11-14,16619.46,0.004887042057925006,1,0.5204610951008646,0.4447267779462448,0.5679835689733067,0.6383263,0.5217376,0.542877,1,0.002887042057925006,0.004887042057925006,1.1807372494516315,1.247823397809619
1584,2022-11-19,16700.68,-0.006091368734686187,0,0.5204610951008646,0.5060791016087431,0.5507909782663061,0.6629232,0.48290876,0.5623262,0,-0.0,-0.006091368734686187,1.1807372494516315,1.2402224453777915
1600,2022-12-05,16966.35,0.009497623236583097,1,0.5204610951008646,0.5060878484954366,0.5233503766715479,0.5975759,0.5074419,0.39547315,1,0.007497623236583097,0.009497623236583097,1.1895899724894192,1.2520016108935434
1605,2022-12-10,17127.49,0.013361560859180166,1,0.5204610951008646,0.5355421155051058,0.49498404318435796,0.49626622,0.48213184,0.4008428,0,0.0,0.013361560859180166,1.1895899724894192,1.2687303066132891
1649,2023-01-23,22916.45,0.004632043793868501,1,0.5204610951008646,0.6177910907951574,0.628200646333394,0.6310028,0.5460791,0.576328,1,0.002632043793868501,0.004632043793868501,1.1927210253937581,1.27460712095613
1654,2023-01-28,23022.6,0.020255748699104403,1,0.5204610951008646,0.6032585031862923,0.5968017249382992,0.6287398,0.5304988,0.51977956,1,0.0182557486991044,0.020255748699104403,1.2144950407014847,1.3004252424883065
1670,2023-02-13,21773.97,0.13125672534682464,1,0.5204610951008646,0.6059911267710846,0.5247373422437548,0.44667935,0.50063765,0.47760618,1,0.12925672534682464,0.13125672534682464,1.3714766926125173,1.471114801375672
